Symbol,Company
360ONE,360 ONE WAM Ltd.
3MINDIA,3M India Ltd.
ABB,ABB India Ltd.
ACC,ACC Ltd.
ACMESOLAR,ACME Solar Holdings Ltd.
AIAENG,AIA Engineering Ltd.
APLAPOLLO,APL Apollo Tubes Ltd.
AUBANK,AU Small Finance Bank Ltd.
AWL,AWL Agri Business Ltd.
AADHARHFC,Aadhar Housing Finance Ltd.
AARTIIND,Aarti Industries Ltd.
AAVAS,Aavas Financiers Ltd.
ABBOTINDIA,Abbott India Ltd.
ACE,Action Construction Equipment Ltd.
ACUTAAS,Acutaas Chemicals Ltd.
ADANIENSOL,Adani Energy Solutions Ltd.
ADANIENT,Adani Enterprises Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,Adani Power Ltd.
ATGL,Adani Total Gas Ltd.
ABCAPITAL,Aditya Birla Capital Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
ABLBL,Aditya Birla Lifestyle Brands Ltd.
ABREL,Aditya Birla Real Estate Ltd.
ABSLAMC,Aditya Birla Sun Life AMC Ltd.
CPPLUS,Aditya Infotech Ltd.
AEGISLOG,Aegis Logistics Ltd.
AEGISVOPAK,Aegis Vopak Terminals Ltd.
AFCONS,Afcons Infrastructure Ltd.
AFFLE,Affle 3i Ltd.
AJANTPHARM,Ajanta Pharmaceuticals Ltd.
ALKEM,Alkem Laboratories Ltd.
ABDL,Allied Blenders and Distillers Ltd.
ARE&M,Amara Raja Energy & Mobility Ltd.
AMBER,Amber Enterprises India Ltd.
AMBUJACEM,Ambuja Cements Ltd.
ANANDRATHI,Anand Rathi Wealth Ltd.
ANANTRAJ,Anant Raj Ltd.
ANGELONE,Angel One Ltd.
ANTHEM,Anthem Biosciences Ltd.
ANURAS,Anupam Rasayan India Ltd.
APARINDS,Apar Industries Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE,Apollo Tyres Ltd.
APTUS,Aptus Value Housing Finance India Ltd.
ASAHIINDIA,Asahi India Glass Ltd.
ASHOKLEY,Ashok Leyland Ltd.
ASIANPAINT,Asian Paints Ltd.
ASTERDM,Aster DM Healthcare Ltd.
ASTRAL,Astral Ltd.
ATHERENERG,Ather Energy Ltd.
ATUL,Atul Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
AIIL,Authum Investment & Infrastructure Ltd.
DMART,Avenue Supermarts Ltd.
AXISBANK,Axis Bank Ltd.
BEML,BEML Ltd.
BLS,BLS International Services Ltd.
BSE,BSE Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BAJAJHFL,Bajaj Housing Finance Ltd.
BALKRISIND,Balkrishna Industries Ltd.
BALRAMCHIN,Balrampur Chini Mills Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BATAINDIA,Bata India Ltd.
BAYERCROP,Bayer Cropscience Ltd.
BELRISE,Belrise Industries Ltd.
BERGEPAINT,Berger Paints India Ltd.
BDL,Bharat Dynamics Ltd.
BEL,Bharat Electronics Ltd.
BHARATFORG,Bharat Forge Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BHARTIHEXA,Bharti Hexacom Ltd.
BIKAJI,Bikaji Foods International Ltd.
GROWW,Billionbrains Garage Ventures Ltd.
BIOCON,Biocon Ltd.
BSOFT,Birlasoft Ltd.
BLUEDART,Blue Dart Express Ltd.
BLUEJET,Blue Jet Healthcare Ltd.
BLUESTARCO,Blue Star Ltd.
BBTC,Bombay Burmah Trading Corporation Ltd.
BOSCHLTD,Bosch Ltd.
FIRSTCRY,Brainbees Solutions Ltd.
BRIGADE,Brigade Enterprises Ltd.
BRITANNIA,Britannia Industries Ltd.
MAPMYINDIA,C.E. Info Systems Ltd.
CCL,CCL Products (I) Ltd.
CESC,CESC Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CIEINDIA,CIE Automotive India Ltd.
CRISIL,CRISIL Ltd.
CANFINHOME,Can Fin Homes Ltd.
CANBK,Canara Bank
CANHLIFE,Canara HSBC Life Insurance Company Ltd.
CAPLIPOINT,Caplin Point Laboratories Ltd.
CGCL,Capri Global Capital Ltd.
CARBORUNIV,Carborundum Universal Ltd.
CARTRADE,Cartrade Tech Ltd.
CASTROLIND,Castrol India Ltd.
CEATLTD,Ceat Ltd.
CEMPRO,Cemindia Projects Ltd.
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Ltd.
CHALET,Chalet Hotels Ltd.
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO,Chennai Petroleum Corporation Ltd.
CHOICEIN,Choice International Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CIPLA,Cipla Ltd.
CUB,City Union Bank Ltd.
CLEAN,Clean Science and Technology Ltd.
COALINDIA,Coal India Ltd.
COCHINSHIP,Cochin Shipyard Ltd.
COFORGE,Coforge Ltd.
COHANCE,Cohance Lifesciences Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CAMS,Computer Age Management Services Ltd.
CONCORDBIO,Concord Biotech Ltd.
CONCOR,Container Corporation of India Ltd.
COROMANDEL,Coromandel International Ltd.
CRAFTSMAN,Craftsman Automation Ltd.
CREDITACC,CreditAccess Grameen Ltd.
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
CUMMINSIND,Cummins India Ltd.
CYIENT,Cyient Ltd.
DCMSHRIRAM,DCM Shriram Ltd.
DLF,DLF Ltd.
DOMS,DOMS Industries Ltd.
DABUR,Dabur India Ltd.
DALBHARAT,Dalmia Bharat Ltd.
DATAPATTNS,Data Patterns (India) Ltd.
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR,Deepak Nitrite Ltd.
DELHIVERY,Delhivery Ltd.
DEVYANI,Devyani International Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DIXON,Dixon Technologies (India) Ltd.
LALPATHLAB,Dr. Lal Path Labs Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
EIDPARRY,E.I.D. Parry (India) Ltd.
EIHOTEL,EIH Ltd.
EICHERMOT,Eicher Motors Ltd.
ELECON,Elecon Engineering Co. Ltd.
ELGIEQUIP,Elgi Equipments Ltd.
EMAMILTD,Emami Ltd.
EMCURE,Emcure Pharmaceuticals Ltd.
EMMVEE,Emmvee Photovoltaic Power Ltd.
ENDURANCE,Endurance Technologies Ltd.
ENGINERSIN,Engineers India Ltd.
ERIS,Eris Lifesciences Ltd.
ESCORTS,Escorts Kubota Ltd.
ETERNAL,Eternal Ltd.
EXIDEIND,Exide Industries Ltd.
NYKAA,FSN E-Commerce Ventures Ltd.
FEDERALBNK,Federal Bank Ltd.
FACT,Fertilisers and Chemicals Travancore Ltd.
FINCABLES,Finolex Cables Ltd.
FSL,Firstsource Solutions Ltd.
FIVESTAR,Five-Star Business Finance Ltd.
FORCEMOT,Force Motors Ltd.
FORTIS,Fortis Healthcare Ltd.
GAIL,GAIL (India) Ltd.
GVT&D,GE Vernova T&D India Ltd.
GMRAIRPORT,GMR Airports Ltd.
GABRIEL,Gabriel India Ltd.
GALLANTT,Gallantt Ispat Ltd.
GRSE,Garden Reach Shipbuilders & Engineers Ltd.
GICRE,General Insurance Corporation of India
GILLETTE,Gillette India Ltd.
GLAND,Gland Pharma Ltd.
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.
GLENMARK,Glenmark Pharmaceuticals Ltd.
MEDANTA,Global Health Ltd.
GODIGIT,Go Digit General Insurance Ltd.
GPIL,Godawari Power & Ispat Ltd.
GODFRYPHLP,Godfrey Phillips India Ltd.
GODREJCP,Godrej Consumer Products Ltd.
GODREJIND,Godrej Industries Ltd.
GODREJPROP,Godrej Properties Ltd.
GRANULES,Granules India Ltd.
GRAPHITE,Graphite India Ltd.
GRASIM,Grasim Industries Ltd.
GRAVITA,Gravita India Ltd.
GESHIP,Great Eastern Shipping Co. Ltd.
FLUOROCHEM,Gujarat Fluorochemicals Ltd.
GMDCLTD,Gujarat Mineral Development Corporation Ltd.
HEG,H.E.G. Ltd.
HBLENGINE,HBL Engineering Ltd.
HCLTECH,HCL Technologies Ltd.
HDBFS,HDB Financial Services Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HFCL,HFCL Ltd.
HAVELLS,Havells India Ltd.
